,,Rig Unit,Report Date,Phase,Activity,Duration,NPT,Summary,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 13:00,"MOB, MOVEON",ANCR,1.0,,Cross tension test anchor wires to 38 Klbs. Good test.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 14:00,"MOB, MOVEON",ANCR,1.0,,Moved barge to final position with 341.5 degree heading.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 15:00,"MOB, MOVEON",R/U,1.0,,Installed gangway and ESD control line.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 16:00,"MOB, MOVEON",HESMTG,1.0,,Inspected platform and SIMOP meeting.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 17:00,"MOB, MOVEON",WOSIMOPS,1.0,,R/U pumping line while wait on E-line operation on well Serang SA-26.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,29-Dec-2012 18:00,"MOB, MOVEON",WOSIMOPS,6.0,,"Run RMT Sigma logging program.

Suspend tubing repair operation to perform logging operation on Dec 29, 2012 at 18:00 hrs.
",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,31-Dec-2012 6:00,"MOB, MOVEON",SLKPLUG,3.0,,RU Slickline lubricator with mast and pressure test to 300/2500 psi. RIH reset flapper SCSSV at 478' nipple. R/D slickline lubricator and mast unit. Set BPV.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,31-Dec-2012 9:00,"MOB, MOVEON",OFFLOAD,2.0,,Arranged space & picked up gangway by production crane to top deck for construction crew repairing socket.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,31-Dec-2012 11:00,"MOB, MOVEON",OFFLOAD,2.0,,"Offloaded Koommy and Elnusu equipment to top deck. 

Instruction from town to postpone Serang SA-22 recompletion program.   ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,31-Dec-2012 13:00,"MOB, MOVEON",OPSUS,17.0,,Operation suspended until tbg AOL.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,08-Jan-2013 10:00,"PROD, WLKLBHD",OFFLOAD,5.5,,Production bleed down G/L line & flowline. Moved equip on top deck. Moved Halliburton mast unit to MTR-1. Moved koomey unit & power pack to top deck. Cleaned production top deck.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,08-Jan-2013 15:30,"PROD, WLKLBHD",R/U,1.0,,RU SL and Elnusa HP lines from pump manifold to SL side-entry pump-in sub & csg valve. Test lines to 300/3000 psi. Test lub from 300/3000 psi.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,08-Jan-2013 16:30,"PROD, WLKLBHD",SLKPLUG,0.5,,RIH & pull flapper valve @ 478'.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,08-Jan-2013 17:00,"PROD, WLKLBHD",DISPLACE,7.0,,"Bleed 500 psi tbg pressure to 0 psi, bleed 850 psi on csg to 0 psi. Pump down tbg 243 bbl FSW w/ 3% KCL. Filled up csg w/ FSW+3% KCL. ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 0:00,"PROD, WLKLBHD",DISPLACE,2.0,,"Continue fill up csg w/ 587 bbl of FSW+3%KCl. 



",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 2:00,"PROD, WLKLBHD",SLKPLUG,0.5,,RIH slickline & re-set flapper valve at 478'. RD slickline.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 2:30,"MOB, RU",TBGLNDHGR,3.0,,Press test tbg hanger cavity to 300/3000 psi. Set BPV. Remove production choke & isolate w/ blind flange.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 5:30,"MOB, RU",TREERCVR,2.5,,"ND X-tree. Install test plug & control line plug.
",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 8:00,"MOB, RU",R/U,1.5,,"NU 11"" 5M riser & 11"" 5M BOP stack.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 9:30,"MOB, RU",BOPTST,0.5,,Test riser & blind rams to 300/3000 psi on a chart. Good Test.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 10:00,"MOB, RU",HESDWN,1.0,,"Safety Stand Down Meeting. Reviewed iCU cards on texting while walking down stairs, poor housekeeping & proper cell phone usage...to be treated as a non-explosion proof equipment....to be used only in the stern of the MTR-1 behind the living quarters.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 11:00,"MOB, RU",R/U,8.5,,"Continued RU Elnusa 225 unit. RU window, jacks & workbasket. Secured w/ guide wires.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 19:30,"MOB, RU",HESDWN,0.5,,"Safety Stand Down Meeting. Reviewed iCU cards on texting while walking down stairs, poor housekeeping & proper cell phone usage...to be treated as a non-explosion proof equipment....to be used only in the stern of the MTR-1 behind the living quarters.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,09-Jan-2013 20:00,"MOB, RU",R/U,4.0,,"Continued RU Elnusa 225 unit. RU window, jacks & workbasket. Secured w/ guide wires. RU gin pole, tong arm, power tong, control console and hoses.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 0:00,"PROD, PRODTBG",R/U,3.0,,"Continue function test snubbing unit, install 6"" return line, offload standpipe.landing joint.mouse hole and 4-1/2"" tubing for BOP annular test.

",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 3:00,"PROD, PRODTBG",BOPTST,1.5,,"Pressure test 4-1/2"" pipe ram to 300/3000 psi and Annular BOP with 4-1/2"" tubing inside to 300/1500 psi, hold for 5 minutes each, OK.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 4:30,"PROD, PRODTBG",DISPLACE,2.0,,Fill up tubing with 10 bbls 3% KCL to ensure no press trap below BPV. Pull out BPV,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 6:30,"PROD, PRODTBG",R/U,3.0,,RU slickline lub/safety valve to landing jt/TIW in work basket. Tested lub. Replaced o-rings & retested lub 300/3000 psi.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 9:30,"PROD, PRODTBG",SLKPLUG,0.5,,MU pulling tool & pull flapper valve @ 478'.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 10:00,"PROD, PRODTBG",SLIDESLV,2.0,, MU shifting tool w/ roller stem.  RIH & toolstring stopped going in hole @ 6600' (71* deviation). Pumped toolstring downhole (1-1/2 bpm) & opened SSD at 9546'. POOH. RD slickline. ,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 12:00,"PROD, PRODTBG",R/U,1.75,,RU Halliburton unit. MU safety valve &  lub to TIW valve in workbasket. Test lub to 300/3000 psi.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 13:45,"PROD, PRODTBG",LOGWL,2.25,,"MU GPWP toolstring. RIH & found fluid level @ 1050', 9000' MD, BHP 1724 psi, 180*F, POOH. ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 16:00,"PROD, PRODTBG",TBGCUTDH,5.0,,"MU 2-3/8"" tbg cutter. RIH & tool stopped @ 3372' (71* deveation). Pumped toolstring downhole @ 1 bpm.Tool stop @6800' (72* deviation) Pumped  toolstring downhole @1.5 bpm total fluid pumped to hole 126 bbls with no return. Correlate to tbg details(got stuck on 9550' suspect centralizer stuck on the XD sleeve profile, work string up/down several time get free), Cut tbg @ 9500'. POOH. RD Halliburton EL unit.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,10-Jan-2013 21:00,"PROD, PRODTBG",CC,3.0,,"Pull hanger and tbg free10ft at 68 Klbs. Pump 300 bbls @ 3 bpm 250 psi, return mixed oil gas and water. Circulate clean while make up transfer line to production facility. Observe well static while waiting for transfer line completed.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,11-Jan-2013 0:00,"PROD, PRODTBG",DISP,2.5,,"Transfer oil 80 bbls to production facility with 0.75 bpm @220 psi.flush line, fill up tubing to ensure no more gas or oil from string with 60 bbls return clean water.
",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,11-Jan-2013 2:30,"PROD, PRODTBG",TBGHGRRNPU,2.5,,"Pulled tubing hanger, control line and 3-1/2"" completion string to surface while continue fill up with105 bbls to get return, break out tubing hanger on work basket. Pump 2 bpm to get returns @ surface. Formation taking completion fluid @ 1 bpm.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,11-Jan-2013 5:00,"PROD, PRODTBG",TOH,16.0,,"TOH w/ old 3-1/2"" completion string. Rolling mud pump @ 0.4 bpm while TOH. Commulative 3-1/2"" tubing pull out 296 jnts plus 17' tubing cut, 6 SPM and 1 BVN.Bundling tubing and offload to MTR1 deck.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,11-Jan-2013 21:00,"PROD, PRODTBG",OFFLOAD,2.0,,"Offload all old completion string to MTR1 deck and pick up Five 3-1/2"" NSCT tubing jts and completion accessories to top deck (ltail pipe below packer). Set 2.81"" PX Plug body and prong at surface in the 2.81"" X landing nipple.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,11-Jan-2013 23:00,"PROD, PRODTBG",HESMTG,0.5,,"Conduct JSA meeting to discuss run completion and combination string, how to handle and lift the tubular properly.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,11-Jan-2013 23:30,"PROD, PRODTBG",TIH,0.5,,"Start RIH 3-1/2"" NSCT Mule shoe, 1 jnt tubing ,X landing nipple and 1 jnt tubing with PX Plug body and prong set inside.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,12-Jan-2013 0:00,"PROD, PRODTBG",SLKPLUG,2.0,,Installed PX plug in lower X Nipple at surface deck. Pressure test PX Plug body and prong to 4000 psi hold for 5 minutes OK. Schlumberger drifted all jewelry on location.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,12-Jan-2013 2:00,"PROD, PRODTBG",TBGRUN,1.0,,"Continue TIH 9-5/8"" MRP Packer followed by 3-1/2' NSCT tubing, XD Sleeve(jar up to open) and bottom SPM. Drifted ea. jt as run.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,12-Jan-2013 3:00,"PROD, PRODTBG",OFFLOAD,3.0,,"Transfer 94 ea, 4-1/2"" 13.5# C95 13Cr Vam Top to top deck  and tally pipe.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,12-Jan-2013 6:00,"PROD, PRODTBG",TBGRUN,18.0,,"Continue TIH w/ 4-1/2"" 13.5#, C-95, 13Cr, Vam Top completion tbg 88 jnts (3711 ft). Fill tbg w/ FSW w/ 3% KCL every 5 jts while TIH. Continue rolling mud pump @ 0.4 bpm for well control (TOF @ +/-1050'). Drifted ea. jt as run.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 0:00,"PROD, PRODTBG",TBGRUN,1.0,,"Continue TIH w/ 4-1/2"" 13.5#, C-95, 13Cr, Vam Top completion tbg. Fill tbg w/ FSW w/ 3% KCL every 5 jts while TIH. Continue rolling mud pump @ 0.4 bpm for well control (TOF @ +/-1050'). All completion jewelries and tbg run in to the hole were drifted.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 1:00,"PROD, PRODTBG",OFFLOAD,1.5,,"Transfer 61 ea tubing 4-1/2"" 12.6# L-80 Vam Top to top deck and tally pipe.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 2:30,"PROD, PRODTBG",TBGRUN,6.5,,"Continue TIH w/ 4-1/2"" 12.6#, L-80, Vam Top completion tbg drifting each jt, Fill tbg w/ FSW w/ 3% KCL every 5 jts while TIH. Continue rolling mud pump @ 0.4 bpm for well control (TOF @ +/-1050'). All completion jewelries run in to the hole were drifted.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 9:00,"PROD, PRODTBG",TSTCMPEQ,0.5,,"MU 4-1/2"" TRSV. Tested control line/TRSV to 5000 psi for 5 minutes.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 9:30,"PROD, PRODTBG",TBGRUN,1.5,,"Continue TIH w/ 4-1/2"" 12.6#, L-80, Vam Top completion tbg drifting each jt, Fill tbg w/ FSW w/ 3% KCL every 5 jts while TIH. Strapping TRSV control line to tbg. Continue rolling mud pump @ 0.4 bpm for well control.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 11:00,"PROD, PRODTBG",TBGLNDHGR,3.0,,"MU FMC hanger. MU TRSV control line. Test TRSV to 5000 psi. Land hanger. Test top side of hanger to 500 psi. Energize pack-off & set hanger. Pull test hanger 10K overpull (59K pipe wt, pulled 69K). ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 14:00,"PROD, PRODTBG",TBGTST,1.0,,"Attempted to set 9-5/8"" MRP packer. Pumped 12 bbl before seeing pressure in tbg. Pressure tbg to 500 psi & bled off in 40 sec to 200 psi several times taking 1 bbl to repressure tbg. Pressured tbg to 1000 psi w/ same results. Leak/communication in tbg ( 4 SPM, SSD tested in SLB shop & PX plug below packer tested in workbasket). Called for slickline crew.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 15:00,"PROD, PRODTBG",SLKDMG,1.0,1.0,Wait on slickline crew to arrive on location to find leak in completion string.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 16:00,"PROD, PRODTBG",TRBSHT,1.0,1.0,Discussed w/ slickline plan of attack for finding & fixing communication in tbg.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 17:00,"PROD, PRODTBG",R/U,1.0,1.0,RU slickline in workbasket in TIW valve. Tested lub to 300/3000 psi.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 18:00,"PROD, PRODTBG",TIH,3.0,3.0,"RIH w/ 3.5"" catcher sub,tool string tagged up at 5286' wlm (SPM @ 5229' MD), try to pass several times w/ no success, pooh same,change tool string composition.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 21:00,"PROD, PRODTBG",TIH,2.0,2.0,"RIH w/ Pony tail to find leaking point, tagged up @ 5286'  without finding communication above 5286', try to pass several times w/o success, pooh.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,13-Jan-2013 23:00,"PROD, PRODTBG",TIH,1.0,1.0,"MU 2.6"" IB. RIH w/ 2.60"" IB to 5286 ft wlm & tagged up, Pooh, No mark on IB.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 0:00,"PROD, PRODTBG",SLKFISH,2.0,2.0,"MU 2.27"" IB. RIH to get an immpression @ 5286' wlm. Tagged @ 5286' & POH. Same mark of metal surface (look like crossover).

",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 2:00,"PROD, PRODTBG",SLKFISH,1.5,1.5,"Change tool string composition and MU 2.6"" IB.  RIH & slid pass 5286' (no tag) & tagged up @  6381' wlm. Attempted to work pass 6381' slm w/o success. POH. No mark on IB.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 3:30,"PROD, PRODTBG",SLKFISH,2.0,2.0,"MU pony tail on last toolstring(1-7/8"" rope socket + 1-7/8"" x 5 ft stem + 1-7/8"" x 3ft roller stem + knuckle joint + 1-7/8"" x 3 ft roller stem + 1-7/8"" spang jar + pony tail ). RIH to look for leak point. Tagged up @ 6381' SPM. Could not work past SPM. POH.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 5:30,"PROD, PRODTBG",SLKFISH,2.0,2.0,Shut down due to bad weather.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 7:30,"PROD, PRODTBG",SLKPLUG,2.5,2.5,"MU PX plug. RIH to set in SSD profile. Could not run past SSD @ 6379' slm (run past & PU to Profile to set PX plug). POH & RD slickline. Talked to office, decided to pull completion string to find problem.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 10:00,"PROD, PRODTBG",TBGHGRRNPU,2.0,2.0,"PU landing jt & latch hanger. Unset hanger & PU same, 60K to pull hanger free (tbg wt 59K). Break out hanger & lay down same. Disconnect TRSV control line from hanger & pump TRSV open.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 12:00,"PROD, PRODTBG",TBGPULL,1.5,1.5,"TOH w/ 4-1/2""  completion string spooling TRSV control line. Break out & lay down 4-1/2"" TRSV. Tested tbg below TRSV, pumped 12 bbl before pressure built to 200 psi. Tested tbg to 400 psi and pressure dropped to 200 psi in 1 minute. Kept mud pump rate @ 0.4 bpm for well control while TOH.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 13:30,"PROD, PRODTBG",TBGPULL,9.0,9.0,"Continue TOH w/ 4-1/2"" completion string testing tbg to 300/400 psi @ jt #39, #50, #76,(pump 12 bbls to get press 400 psi in 1 minutes drop to 200 psi) #84. Kept mud pump rate @ 0.4 bpm for well control while TOH.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,14-Jan-2013 22:30,"PROD, PRODTBG",SLIDESLV,1.5,1.5,"Continue TOH w/ 4-1/2"" completion string  tbg to jnt # 84",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 0:00,"PROD, PRODTBG",TBGPULL,2.5,2.5,"Continue TOH w/ 4-1/2"" completion string testing tbg to 400 psi at jnt#88,12 bbls pumped to get 400 psi. 1 minute drop to 200 psi.
",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 2:30,"PROD, PRODTBG",TBGPULL,1.5,1.5,"Continue TOH w/ 4-1/2"" completion string to jnt#93 (wet string) test tubing to 400 psi & drop to 100 psi in 1 minute. Found several bad jt conn on the 4-1/2"" 13.5# C95 13 CrVam Top tbg. ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 4:00,"PROD, PRODTBG",SLIDESLV,4.5,4.5,"RU SL. Test lub 300/2000 psi. RIH w/ SST & check SSD to ensure closed. Tagged @ SSD, could not run through SSD. Found 3/8"" impression on IB face about 3/8"" from outer edge of IB. Cleaned IB. Reran w/ same results. Looks like something is across/inside SSD preventing slickline tool from running through SSD.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 8:30,"PROD, PRODTBG",TBGPULL,6.5,6.5,"Continue TOH w/ 4-1/2"" completion string. Found several bad jt conn of 4-1/2"" 13.5# C95 13Cr Vam Top tbg. Tested tbg @ tbg jt #111, Pumped 0.3 bbl to pressure tbg to 400 psi, 2 minutes for tbg to bleed to 200 psi. Tested tbg @ jt #125 (on top of #2 SPM) w/ same leak results.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 15:00,"PROD, PRODTBG",OFFLOAD,1.0,1.0,"Moved one row of 4-1/2"" 13.5# C95 13Cr Vam Top tbg from pipe rack on top deck to MTR-1. Pipe was getting too high and Tuboscope can do a better job checking pipe threads without pipe coming down out of the workbasket .",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 16:00,"PROD, PRODTBG",TBGPULL,5.0,5.0,"Continue TOH w/ 4-1/2"" completion string. Pulling 4-1/2"" 13.5# C95 13Cr Vam Top tbg. Tested tbg @ tbg jt #151 on top of SPM #1 plus 1 jnt 3-1/2"" Pumped 0.3 bbl to pressure tbg to 400 psi, 2 minutes for tbg to bleed to 200 psi. Note: Jt# 151 was the last jt of 4-1/2"" 13Cr tbg.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,15-Jan-2013 21:00,"PROD, PRODTBG",TBGPULL,3.0,3.0,"Continue TOH w/ 3-1/2"" completion string,1 jnt above SSD tested to 400 psi, holding good test. Continue pull out string and MRP packer, 1 jnt 3-1/2"" plus X landing nipple w/PX plug and prong inside.

",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 0:00,"PROD, PRODTBG",TBGR/D,1.5,1.5,"Standby due to very high wind speed and heavy rain.

",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 1:30,"PROD, PRODTBG",TBGR/D,4.5,4.5,"Continue arrange 4-1/2"" 13 Cr tubing to the booster.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 6:00,"PROD, PRODTBG",TBGR/D,2.0,2.0,Shut down due to weather.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 8:00,"PROD, PRODTBG",TBGR/D,2.0,2.0,"Continue arrange 4-1/2"" 13 Cr tubing to the booster.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 10:00,"PROD, PRODTBG",HESMTG,2.0,2.0,"Off-loaded  9-5/8"" retrievable packer from boat. BJ Service tech inspected the packer & storm valve. Safety meeting with BJ & Elnusa on running & setting the packer.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 12:00,"PROD, PRODTBG",PKRSTRLP,6.0,6.0,"PU & ran 9-5/8"" retrievable packer w/ storm valve to 1046' (fluid depth). Set packer. Slacked off 100% tbg wt on packer. Pull tested to packer to15K. Released from packer & PU tbg 5'. Filled annulus & tested packer to 500 psi. TOH w/ 3-1/2"" tbg. Closed blind rams and tested packer to 1500 psi.",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 18:00,"PROD, PRODTBG",TBGHGRRNPU,3.5,3.5,"PU & TIH w/ 10 jts of kill string. MU hanger. RIH & landed. Pressure test hanger seal to 500 psi. Energized hanger and pull test to 10Klbs over. Released running tool & pulled landing jts. MU BPV. Ran same & set in hanger. Laid down landing jts. Back load 4 bundles of 4-1/2"" Vam top tubing from pipe rack to MTR-1 deck. ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 21:30,"PROD, PRODTBG",HESMTG,0.5,0.5,Held PJSM with EWS & Barge crew; review JSA R/D SNB 225 unit.,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 22:00,"PROD, PRODTBG",R/D,0.5,0.5,"Scoop down gin pole, while pumping approx 50 bbls of oil from EWS tank to production thru SA-29 well. ",,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,16-Jan-2013 22:30,"PROD, PRODTBG",R/D,1.5,1.5,Disconnected hydraulic hoses. R/D hydraulic equipment and prepare for R/D work basket at report time. ,,,,,,,,,,,,,,,,,
,,SNB-225 / MTR-1,17-Jan-2013 0:00,"PROD, PRODTBG",R/D,4.0,4.0,"Continued to R/D SNB 225. 
",,,,,,,,,,,,,,,,,
